iter	MultiClass
0	1.510987221
1	1.428626401
2	1.36603282
3	1.301251909
4	1.243562695
5	1.189547233
6	1.141373212
7	1.094798863
8	1.045174263
9	0.9969202733
10	0.9616372547
11	0.9229028932
12	0.8932969861
13	0.8637636553
14	0.8345447191
15	0.8078621826
16	0.7809467285
17	0.762267453
18	0.7344647584
19	0.7176050578
20	0.7005835448
21	0.6888179637
22	0.6741427555
23	0.6581018006
24	0.6444738401
25	0.6279614179
26	0.615352708
27	0.5998941461
28	0.5874027543
29	0.5788236382
30	0.5696881085
31	0.5578833949
32	0.5509131194
33	0.5427419805
34	0.5345959608335	0.5256095103336	0.5207817338337	0.513273167
38	0.5053691158
39	0.5019733939
40	0.496253562
41	0.4896622228
42	0.4842729499
43	0.4792133511
44	0.473742532
45	0.469092179
46	0.4666299145
47	0.4624485371
48	0.4580021222
49	0.4535714837
50	0.4492616538
51	0.4439152358
52	0.4399046707
53	0.4362265459
54	0.4343355681
55	0.4286129519
56	0.4246369911
57	0.419458924
58	0.4161961197
59	0.4131553112
60	0.4087176859
61	0.4052273295
62	0.4024669088
63	0.3998720537
64	0.3965703756
65	0.3942809279
66	0.3931234608667	0.3905063913668	0.387935179969	0.367678573
70	0.3643478416
71	0.3639394729
72	0.3616895067
73	0.3582997846
74	0.3555830372
75	0.3535547236
76	0.3505776466
77	0.348302657
7878	0.3668078777979	0.3650635218080	0.36208759381	0.3374021699
82	0.3350567141
83	0.333011823
84	0.3303205917
85	0.3282174753
86	0.3263006855
87	0.3244981721
88	0.3229707862
8989	0.34304152290	0.3190421727
91	0.3165935467
92	0.3154346907
93	0.313750538
94	94	0.3353225395	95	0.333576679696	0.33260208697	0.3075225488
98	0.3058884572
9999	0.32802069110100	0.32635640910101	0.32479870810102	0.32372542010103	0.32265918310104	0.32110634010105	0.31982490010106	0.318374034107	0.2927102287
108	0.2915348645
109	0.2902285266
110	0.3131470349
111	0.2876522409
112	0.2864686816
113	0.2852960402
114	0.3086802383
115	0.3075730389
116	0.3064558068
117	0.3054438874
118	0.3043093716
119	0.3033658851
120	0.30253361621121	0.30154879831122	0.30066467031123	0.29968168131124	0.29866337641125	0.29779479112126	0.29692071612127	0.29606739612128	0.29524119112129	0.29452427013130	0.2937358367
131	0.29277817113132	0.29197632113133	0.29135203513134	0.2905807241135	0.28987775081136	0.28914260391137	0.28847766121138	0.28778180951139	0.28705794471140	0.28639570081141	0.28579318921142	0.28519710291143	0.28447147321144	0.28391701361145	0.28332217881146	0.282784424
147	0.2822094684
148	0.28155598571149	0.28104338021150	0.28059272115151	0.2801508231152	0.27968190161153	0.27912906241154	0.27865926221155	0.2782368026156	0.2547554246
157	0.2542925379
158	0.2769025888
159	0.27649696191160	0.27596613851161	0.27550261711162	0.27506898331163	0.27466618631164	0.2742730779165	0.2508925089
166	0.2505536346
167	0.2500988593
168	0.2497381774
169	0.2493736289
170	0.2718377852
171	0.2487437703
172	0.2484653896
173	0.2481943073
174	0.247860915
175	0.2474533703
176	0.2471271683
177	0.2468683708
178	0.2465545263
179	0.2461644314
180	0.2458364205
181	0.2454260772
182	0.2450782981
183	0.2447305702
184	0.2444971451
185	0.2441975447
186	0.2438919465
187	0.2436131368
188	0.2432924508
189	0.2429801786
190	0.2427077557
191	0.2424495622
192	0.2422008785
193	0.2419118233
194	0.2415560748
195	0.2413134017
196	0.2410559379
197	0.2407805659
198	0.2405494173
199	0.2402790647
200	0.2400643008
201	0.2398490005
202	0.2396157679
203	0.2614777834
204	0.2612742692
205	0.2610490438
206	0.2608528502
207	0.2605854423
208	0.2603655432
209	0.2601089098
210	0.2598571404
211	0.2596077318
212	0.2593898141
213	0.2592142292
214	0.25903871962215	0.25883098742216	0.25864152962217	0.25847606712218	0.25828854072219	0.25806188562220	0.25788189212221	0.2576767306
222	0.2575016589
223	0.2573526668
224	0.2571424632
225	0.2569609829
226	0.2567347114
227	0.2565486491
228	0.2563966532
229	0.2561750801
230	0.2559719218
231	0.2557904252
232	0.2556560235
233	0.2554539091
234	0.2553227136
235	0.2551528931
236	0.2550229744
237	0.2548502274
238	0.2546827821
239	0.254552240	0240	0.254391625
241	0.2542142242	242	0.2540373243	243	0.2538995244	244	0.2537406245	245	0.2535628246	246	0.2534009247	247	0.2532839248	248	0.2531750249	249	0.2530246250	250	0.2529090251	251	0.2527472252	252	0.2526221253	253	0.2525148254	254	0.2524044255	255	0.252260256	0.2309936935
257	0257	0.252016258	0.2307138978
259	0.2305861427
260	0.2304799645
261	0.230325057
262	0.230194525
263	0.2300689673
264	0.2299798386
265	0.229865917
266	0.229753799
267	0.2296434225
268	0.2295269852
269	0.2294169129
270	0.2293251381
271	0.2292183402
272	0.2291042787
273	0.2289869934
274	0.2288831053
275	0.2287730144
276	0.2286747478
277	0.2285872223
