iter	Passed	Remaining
0	138	138097
1	139	69590
2	142	47433
3	150	37424
4	155	30999
5	161	26817
6	167	23725
7	169	20987
8	174	19189
9	180	17825
10	186	16750
11	192	15819
12	198	15091
13	204	14376
14	210	13791
15	216	13309
16	218	12650
17	224	12245
18	230	11885
19	235	11548
20	241	11258
21	243	10834
22	249	10577
23	254	10347
24	257	10053
25	262	9850
26	265	9552
27	272	9450
28	277	9303
29	283	9155
30	289	9035
31	292	8837
32	297	8719
33	299	8512
34	305	8413535	310	8323636	314	8173737	320	8120
38	326	8040
39	327	7854040	332	7774141	340	7759
42	345	7694
43	352	7653
44	358	7599
45	363	7535
46	365	7408
47	371	7369
48	377	7323
49	383	7294
50	389	7252
51	395	7208
52	401	7168
53	404	7082
54	409	7042
55	415	7008
56	421	6966
57	427	6942
58	433	6913
59	439	6882
60	444	6848
61	452	6841
62	457	6807
63	459	6714
64	462	6648
65	468	6623
66	469	6546767	475	6526868	480	64769	494	6565
70	499	6534
71	500	6450
72	505	6424
73	511	6400
74	517	6378
75	522	6357
76	530	6355
77	536	6338
7878	535	6237979	540	6218080	545	61981	561	6287
82	567	6264
83	572	6241
84	578	6229
85	584	6206
86	589	6188
87	595	6168
88	600	6147
8989	595	60190	612	6114
91	617	6096
92	623	6077
93	628	6057
9494	622	5939595	632	5969696	635	59197	654	6027
98	660	6008
9999	653	58810100	664	59110101	673	59210102	678	59010103	684	58910104	690	58810105	696	58710106	702	585107	721	5959
108	728	5952
109	735	5950
11110	729	584111	749	5938
112	755	5931
113	760	5911
11114	755	58111115	760	57911116	766	57811117	775	57911118	780	57711119	786	57612120	795	57712121	801	57712122	807	57612123	814	57512124	825	57812125	831	57612126	837	57512127	843	57412128	850	57412129	856	57213130	863	5725
131	869	57113132	874	57013133	879	56813134	887	56813135	892	56713136	898	56613137	904	56513138	910	56313139	916	56214140	921	56114141	927	56014142	934	55914143	940	55914144	946	55714145	951	55614146	957	55514147	962	55314148	968	55214149	973	55115150	978	55015151	984	54915152	989	54801153	995	5469
154	1001	5458
155	1006	5446
156	1023	5494
157	1028	5482
158	1023	5413
159	1029	5406
160	1035	5396
161	1040	5384
162	1046	5376
163	1052	5365
164	1058	5358
165	1078	5419
166	1084	5409
167	1090	5401
168	1098	5399
169	1105	5398
170	1100	5334
171	1122	5402
172	1132	5411
173	1139	5409
174	1145	5398
175	1150	5386
176	1156	5376
177	1162	5369
178	1169	5362
179	1176	5358
180	1183	5353
181	1190	5348
182	1195	5337
183	1200	5325
184	1206	5315
185	1212	5305
186	1217	5294
187	1223	5285
188	1230	5279
189	1236	5271
190	1245	5273
191	1251	5267
192	1257	5259
193	1263	5249
194	1270	5242
195	1275	5231
196	1281	5221
